album_id,album_name,album_total_tracks,album_type,album_release_date,album_genres,album_label,album_popularity
66OKdF2UFS4TC5FToHWL5Y,Džanum,1,single,2023-03-22,[],Režim & Južni Vetar,72
6nlUFeFAPjaDTA7A0VVwnO,Spider-Man: Across the Spider-Verse (Original Score),34,album,2023-06-02,[],Sony Classical,76
0HSQaKxWwZCSU4PnUW1RnY,"They think you are a monster, prove them right",1,single,2023-03-18,[],8inch meyus,35
1d6zYSMdMycQgpdwNUsORs,MENACE TO SOCIETY,11,album,2023-05-26,[],25/7 Records LLC.,59
7u8aAYprJucEFRmH2l6tJJ,Ora (Deluxe Version),25,album,2011-01-25,[],Universal Music Italia srL.,43
0wseGI0Yw53Ys8W7QGX36a,10,11,album,2023-06-29,[],Universal Music Italia srL.,80
4ir7AIjfrMVHTxZhnfzhWl,La Divina Commedia,16,album,2023-06-02,[],Epic,83
3KmE6jhg7fEXffy7F5XIMn,"Call of Duty: Black Ops II Zombies – ""Mob of the Dead"" Soundtrack",26,album,2013-04-23,[],Activision,47
5Ktys9SYMY2DeqyhGLzQBn,Call of Duty Black Ops II (Original Game Soundtrack),49,album,2012-11-13,[],Activision,49
5xMwhSAkKVHgBAmS8ApZkO,Atlas and the Cruel World,10,album,2020-10-23,[],Owsey,32
1kTlYbs28MXw7hwO0NLYif,Encore (Deluxe Version),23,album,2004-11-12,[],Aftermath,83
1vU1ePx8IOwsYRo5nh63nn,VETRI NERI,1,single,2023-05-19,[],Warner Music,75
5rFZcoCvmCaJ1gxTMU4JTm,Master Of Puppets (Deluxe Box Set / Remastered),137,album,1986-03-03,[],Blackened Recordings / Universal Music,57
1QYPAEk2Ksj3WPv3mvoDnL,LET GO,1,single,2022-12-15,[],Central Cee,74
1bwbZJ6khPJyVpOaqgKsoZ,METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),13,album,2023-06-02,[],Republic Records,91
3vre3MqEPBqqUvIQMUMpXF,"Memphis Cult Greatest Hits Speed UP, Vol. 1",18,compilation,2023-03-10,[],Memphis Cult,46
4B3FsNFguOEJ4TWEsct83B,Romantic Homicide,1,single,2022-07-20,[],Darkroom/Interscope Records,80
1wJ0LO5PnMZDTrWR2C7qQ8,"Shell Shocked (feat. Kill the Noise & Madsonik) [From ""Teenage Mutant Ninja Turtles""]",1,single,2014-07-22,[],Atlantic Records,56
2na9riat7uwn9pax75cJue,MATHEMATICAL DISRESPECT,1,single,2023-05-05,[],Lil Mabu,74
